filename,word_count,unique_words
Haggard_Mines_1885,82948,7270
James_Roderick_1875,132759,9897
Gaskell_Lovers_1863,191037,11756
Schreiner_Undine_1929,90672,6936
Kipling_Light_1891,72479,7485
Corelli_Innocent_1914,121950,12823
Lawrence_Serpent_1926,172356,11344
Blackmore_Springhaven_1887,202113,12957
Meredith_Feverel_1859,168781,13356
Schreiner_Trooper_1897,24612,2909
Lytton_Kenelm_1873,193074,13433
Forster_Angels_1905,50477,5638
Barclay_Postern_1911,40015,4655
Morris_Roots_1890,154305,6968
Braddon_Quest_1871,174199,10170
Conrad_Almayer_1895,63257,6494
Barclay_Rosary_1909,105920,8157
Doyle_Micah_1889,177917,14003
Eliot_Daniel_1876,311335,15791
Lawrence_Women_1920,183180,11883
Forster_View_1908,67930,6905
Stevenson_Catriona_1893,102106,7802
Trollope_Phineas_1869,266634,9790
Hardy_Madding_1874,138440,12211
Braddon_Phantom_1883,180676,12850
Stevenson_Arrow_1888,80291,7209
James_Ambassadors_1903,167555,9035
Lee_Albany_1884,62913,8082
Doyle_Hound_1902,59639,5921
Wcollins_Basil_1852,118088,8350
Cbronte_Villette_1853,196557,15445
Bennet_Babylon_1902,68397,6709
Burnett_Lord_1886,58698,4660
Ward_Milly_1881,47588,3533
Meredith_Marriage_1895,156151,14320
Ford_Girl_1907,35708,4758
Lytton_What_1858,338512,19057
Corelli_Romance_1886,100526,8805
Chesterton_Innocence_1911,79361,8143
Burnett_Princess_1905,66877,5034
Forster_Howards_1910,111057,9352
James_Tragic_1890,210553,11593
Meredith_Richmond_1871,214985,15657
Dickens_Oliver_1839,159489,10754
Ford_Soldier_1915,76750,6958
Wcollins_Woman_1860,247078,10603
Blackmore_Lorna_1869,273259,13779
Kipling_Kim_1901,107663,10187
Cbronte_Shirley_1849,218572,15583
Conrad_Rover_1923,88101,7375
Bennet_Helen_1910,52644,6387
Woolf_Years_1937,130903,8594
Chesterton_Thursday_1908,58299,6440
Cbronte_Jane_1847,189103,13267
Blackmore_Erema_1877,167016,10728
Haggard_She_1887,113770,9365
Braddon_Audley_1862,148763,10651
Haggard_Sheallan_1921,121506,7886
Conrad_Nostromo_1904,172276,12734
Gaskell_Wives_1865,270014,11969
Hardy_Tess_1891,151197,12668
Morris_Water_1897,147737,6434
Gissing_Warburton_1903,85093,7276
Bennet_Imperial_1930,255975,15101
Dickens_Bleak_1853,357936,16071
Schreiner_Farm_1883,100645,7408
Burnett_Garden_1911,81043,5011
Ward_Ashe_1905,141832,12784
Lawrence_Peacock_1911,124497,10310
Chesterton_Napoleon_1904,54920,6655
Gaskell_Ruth_1855,161797,9980
Lytton_Novel_1853,456592,20177
Stevenson_Treasure_1883,68448,6182
Galsworthy_Man_1906,110455,9454
Galsworthy_Saints_1919,95156,7822
Eliot_Felix_1866,182816,13299
Ward_Harvest_1920,75043,8567
Lee_Brown_1884,48242,6000
Morris_Wood_1894,49983,3844
Thackeray_Virginians_1859,356604,17462
Kipling_Captains_1896,53467,7252
Eliot_Adam_1859,216651,12392
Barclay_Ladies_1917,122382,8013
Dickens_Expectations_1861,186804,11375
Wcollins_Legacy_1889,120704,6881
Galsworthy_River_1933,89871,7823
Lee_Penelope_1903,21840,3681
Thackeray_Esmond_1852,187049,11862
Woolf_Night_1919,167075,10722
Gissing_Women_1893,139234,8963
Gissing_Unclassed_1884,124877,8673
Trollope_Angel_1881,217694,9897
Thackeray_Pendennis_1850,359496,18077
Corelli_Satan_1895,169571,12361
Hardy_Jude_1895,147273,11204
Ford_Post_1926,72055,9090
Trollope_Warden_1855,72102,7021
Woolf_Lighthouse_1927,70185,6866
Anon_Clara_1864,197620,14220
Doyle_Lost_1912,76281,8056
