	node	betweeness	eigenvector
0	John F. Kerry	0.0013268520959074284	0.013956129769008573
1	Laurent Fabius	9.626535470310364e-05	0.004089866705743195
2	Francois Hollande	0.00227200992176967	0.010604585868317818
3	Kerry	0.004638286165062889	0.023663300378197603
4	Obama	0.17198251617183505	0.12890839844691354
5	Benjamin Netanyahu	0.004951577770983044	0.030326311085725297
6	Jane Hartley	0.00010055788537119252	0.006541308026066337
7	Victoria Nuland	5.444535783990582e-05	0.00403008311107875
8	Eric H. Holder Jr.	2.284308490021687e-06	0.0012466042081245112
9	Narendra Modi	0.0007170252757519597	0.0047741232214639434
10	Donald Trump	0.08653938313500951	0.14991264049161543
11	Hillary Clinton	0.08563151909721294	0.15633634901440532
12	Ted Cruz	0.03516483488312504	0.12762201382546118
13	Bernie Sanders	0.025806347530307378	0.1222916873725086
14	D-Vt.	3.6874064140716284e-05	0.013410832026189519
15	John Kasich	0.006061696570309749	0.08302238519888809
16	Clinton	0.07927756248438121	0.1530989988763459
17	Trump	0.04956606059574627	0.13543667094462686
18	Cruz	0.013730494776912487	0.09790464840554083
19	Hillary	0.014966318585569478	0.11567155020726556
20	Kasich	0.002547365865537904	0.05631335016018466
21	Dubbed	0.0	2.447397919659268e-06
22	Nicholas Winton	0.0	2.447397919659268e-06
23	Queen Elizabeth II	0.00034228573820272573	0.0006931965989966723
24	Moammar Gadhafi	0.0002657700414385058	0.010603502411728092
25	Matt Lauer	0.000395596913485575	0.01196463165668179
26	Howard Stern	2.5941279456420245e-05	0.008848621084366896
27	Neil Cavuto	3.134746104757783e-05	0.01404037120171229
28	Cavuto	1.1317205166237381e-05	0.011430334825841394
29	Chris Matthews	0.00023121634047342616	0.023937046869847163
30	Joe Scarborough	3.0076502509150442e-05	0.015632358042117878
31	George W. Bush	0.023623450806324803	0.10129590056241891
32	Bush	0.027071085149303408	0.10361461591507645
33	Condoleezza Rice	0.00040356576970478487	0.029418730122190147
34	Nouri al-Maliki	0.00012229957190201284	0.008392760628360493
35	Leon Panetta	6.562173568271967e-05	0.011493425207954122
36	Maliki	3.284973516019443e-05	0.0071308901435329745
37	Raul Castro	6.461640062604936e-05	0.00731413010259995
38	Salman	0.0010062056949789611	0.008997950534074475
39	Ronald Reagan	0.007272718189316053	0.06997691872521355
40	Reagan	0.008044707166143132	0.0715755720465327
41	Helmut Kohl	0.0	0.0053005175858071105
42	Glenn Kessler	5.690151097426745e-05	0.018210947318785614
43	Kessler	1.746299018907383e-05	0.0067954089204164255
44	Richard Nixon	0.0023374079880839425	0.0403918860383879
45	Zhou Enlai	0.0	0.0053005175858071105
46	Mao	1.5051254640999247e-05	0.005409995884765222
47	Nixon	0.001432937724176111	0.035110343766931416
48	Lauer	0.0001760577447475583	0.00536565939936262
49	Gadhafi	4.854531614034327e-07	0.006250273513320788
50	Rachel Maddow	0.000117889903340875	0.009694784625696982
51	Maddow	5.476274760996124e-05	0.006579202166324361
52	Olli Heinonen	2.190926471015093e-07	0.0007729113153839758
53	John Kerry	0.012305821299661375	0.05071453960212911
54	Edward Kennedy	5.8237603339516145e-06	0.0033864147695729452
55	Frank-Walter Steinmeier	0.00029044500709850236	0.0069276987796851545
56	Mohammad Javad Zarif	0.00012528540150372961	0.005824092383955834
57	Bill Clinton	0.01629570288173139	0.10496006299473025
58	Bill	0.0031386398597406362	0.052510696912198764
59	Chelsea Clinton	3.6040258616438195e-05	0.010733146371438946
60	Cigi Ross	0.0	0.0025275803643091655
61	Chelsea Clinton's	1.7747340639525308e-07	0.002539202881250677
62	Politico	0.004725320711613632	0.0721314269765933
63	Alan Cobb	2.127162824647671e-06	0.00453577869631611
64	Joni Ernst	0.00026592663369503746	0.02633132075542751
65	Kelly Ayotte	0.0006169190857861141	0.04520854571241032
66	Ayotte	9.129003650019482e-05	0.025877604682881895
67	Ernst	0.0	0.00309154553450213
68	Maggie Hassan	0.0001331555215727535	0.027998352553215346
69	Angela Merkel	0.003363087850911422	0.013197165441201085
70	Jeanne Shaheen	1.7155683836234544e-05	0.00796198233977649
71	Nancy Pelosi	0.0025691334606634353	0.0375555903634264
72	Peter Kuhn	0.0	0.00309154553450213
73	Marie-Claire Villeval	0.0	0.00309154553450213
74	Stefano Gagliarducci	0.0	0.00309154553450213
75	M. Daniele Paserman	0.0	0.00309154553450213
